,mpg,cylinders,model year,origin,weight discrete,Displacement2,acceleration,horsepower
0,18.0,8,70,1,between 3372 and 3724,between 295 and 333,between 11 and 12,between 117 and 135
1,15.0,8,70,1,between 3372 and 3724,between 333 and 371,between 11 and 12,between 153 and 171
2,18.0,8,70,1,between 3372 and 3724,between 295 and 333,between 10 and 11,between 135 and 153
3,16.0,8,70,1,between 3372 and 3724,between 295 and 333,between 11 and 12,between 135 and 153
4,17.0,8,70,1,between 3372 and 3724,between 295 and 333,between 10 and 11,between 135 and 153
5,15.0,8,70,1,between 4076 and 4428,between 409 and 456,between 9 and 10,between 189 and 207
6,14.0,8,70,1,between 4076 and 4428,between 409 and 456,between 8 and 9,between 207 and 231
7,14.0,8,70,1,between 4076 and 4428,between 409 and 456,between 8 and 9,between 207 and 231
8,14.0,8,70,1,between 4076 and 4428,between 409 and 456,between 9 and 10,between 207 and 231
9,15.0,8,70,1,between 3724 and 4076,between 371 and 409,between 8 and 9,between 189 and 207
10,15.0,8,70,1,between 3372 and 3724,between 371 and 409,between 9 and 10,between 153 and 171
11,14.0,8,70,1,between 3372 and 3724,between 333 and 371,between 7 and 8,between 153 and 171
12,15.0,8,70,1,between 3724 and 4076,between 371 and 409,between 9 and 10,between 135 and 153
13,14.0,8,70,1,between 3020 and 3372,between 409 and 456,between 9 and 10,between 207 and 231
14,24.0,4,70,3,between 2316 and 2668,between 105 and 143,between 14 and 15,between 81 and 99
15,22.0,6,70,1,between 2668 and 3020,between 181 and 219,between 15 and 16,between 81 and 99
16,18.0,6,70,1,between 2668 and 3020,between 181 and 219,between 15 and 16,between 81 and 99
17,21.0,6,70,1,between 2316 and 2668,between 181 and 219,between 15 and 16,between 81 and 99
18,27.0,4,70,3,between 1964 and 2316,between 67 and 105,between 14 and 15,between 81 and 99
19,26.0,4,70,2,between 1612 and 1964,between 67 and 105,between 20 and 21,between 45 and 63
20,25.0,4,70,2,between 2668 and 3020,between 105 and 143,between 17 and 18,between 81 and 99
21,24.0,4,70,2,between 2316 and 2668,between 105 and 143,between 14 and 15,between 81 and 99
22,25.0,4,70,2,between 2316 and 2668,between 67 and 105,between 17 and 18,between 81 and 99
23,26.0,4,70,2,between 1964 and 2316,between 105 and 143,between 12 and 13,between 99 and 117
24,21.0,6,70,1,between 2316 and 2668,between 181 and 219,between 14 and 15,between 81 and 99
25,10.0,8,70,1,between 4428 and 4780,between 333 and 371,between 13 and 14,between 207 and 231
26,10.0,8,70,1,between 4076 and 4428,between 295 and 333,between 14 and 15,between 189 and 207
27,11.0,8,70,1,between 4076 and 4428,between 295 and 333,between 13 and 14,between 207 and 231
28,9.0,8,70,1,between 4428 and 4780,between 295 and 333,between 18 and 19,between 189 and 207
29,27.0,4,71,3,between 1964 and 2316,between 67 and 105,between 14 and 15,between 81 and 99
30,28.0,4,71,1,between 1964 and 2316,between 105 and 143,between 15 and 16,between 81 and 99
31,25.0,4,71,3,between 1964 and 2316,between 105 and 143,between 13 and 14,between 81 and 99
32,25.0,4,71,1,between 1964 and 2316,between 67 and 105,between 18 and 19,between 81 and 99
33,19.0,6,71,1,between 2316 and 2668,between 219 and 257,between 12 and 13,between 99 and 117
34,16.0,6,71,1,between 3372 and 3724,between 219 and 257,between 15 and 16,between 99 and 117
35,17.0,6,71,1,between 3020 and 3372,between 219 and 257,between 15 and 16,between 99 and 117
36,19.0,6,71,1,between 3020 and 3372,between 219 and 257,between 15 and 16,between 81 and 99
37,18.0,6,71,1,between 3020 and 3372,between 219 and 257,between 15 and 16,between 99 and 117
38,14.0,8,71,1,between 4076 and 4428,between 333 and 371,between 11 and 12,between 153 and 171
39,14.0,8,71,1,between 4428 and 4780,between 371 and 409,between 11 and 12,between 171 and 189
40,14.0,8,71,1,between 4076 and 4428,between 333 and 371,between 13 and 14,between 135 and 153
41,14.0,8,71,1,between 4076 and 4428,between 295 and 333,between 12 and 13,between 135 and 153
42,12.0,8,71,1,between 4780 and 5141,between 371 and 409,between 11 and 12,between 171 and 189
43,13.0,8,71,1,between 4428 and 4780,between 371 and 409,between 11 and 12,between 153 and 171
44,13.0,8,71,1,between 4780 and 5141,between 371 and 409,between 11 and 12,between 171 and 189
45,18.0,6,71,1,between 2668 and 3020,between 257 and 295,between 13 and 14,between 99 and 117
46,22.0,4,71,1,between 2316 and 2668,between 105 and 143,between 18 and 19,between 63 and 81
47,19.0,6,71,1,between 3020 and 3372,between 219 and 257,between 14 and 15,between 99 and 117
48,18.0,6,71,1,between 3020 and 3372,between 219 and 257,between 14 and 15,between 81 and 99
49,23.0,4,71,1,between 1964 and 2316,between 105 and 143,between 13 and 14,between 81 and 99
50,28.0,4,71,2,between 1964 and 2316,between 105 and 143,between 13 and 14,between 81 and 99
51,30.0,4,71,2,between 1964 and 2316,between 67 and 105,between 19 and 20,between 63 and 81
52,30.0,4,71,2,between 1964 and 2316,between 67 and 105,between 14 and 15,between 63 and 81
53,31.0,4,71,3,between 1612 and 1964,between 67 and 105,between 18 and 19,between 63 and 81
54,35.0,4,71,3,between 1612 and 1964,between 67 and 105,between 17 and 18,between 63 and 81
55,27.0,4,71,2,between 1612 and 1964,between 67 and 105,between 18 and 19,between 45 and 63
56,26.0,4,71,1,between 1612 and 1964,between 67 and 105,between 20 and 21,between 63 and 81
57,24.0,4,72,3,between 1964 and 2316,between 105 and 143,between 15 and 16,between 81 and 99
58,25.0,4,72,1,between 1964 and 2316,between 67 and 105,between 16 and 17,between 63 and 81
59,23.0,4,72,2,between 1964 and 2316,between 67 and 105,between 23 and 25,between 45 and 63
60,20.0,4,72,1,between 2316 and 2668,between 105 and 143,between 19 and 20,between 81 and 99
61,21.0,4,72,1,between 1964 and 2316,between 105 and 143,between 16 and 17,between 81 and 99
62,13.0,8,72,1,between 4076 and 4428,between 333 and 371,between 11 and 12,between 153 and 171
63,14.0,8,72,1,between 4076 and 4428,between 371 and 409,between 11 and 12,between 171 and 189
64,15.0,8,72,1,between 4076 and 4428,between 295 and 333,between 13 and 14,between 135 and 153
65,14.0,8,72,1,between 4076 and 4428,between 333 and 371,between 12 and 13,between 135 and 153
66,17.0,8,72,1,between 3372 and 3724,between 295 and 333,between 11 and 12,between 135 and 153
67,11.0,8,72,1,between 4428 and 4780,between 409 and 456,between 10 and 11,between 207 and 231
68,13.0,8,72,1,between 4428 and 4780,between 333 and 371,between 13 and 14,between 153 and 171
69,12.0,8,72,1,between 4428 and 4780,between 333 and 371,between 13 and 14,between 153 and 171
70,13.0,8,72,1,between 4076 and 4428,between 371 and 409,between 12 and 13,between 189 and 207
71,19.0,3,72,3,between 2316 and 2668,between 67 and 105,between 13 and 14,between 81 and 99
72,15.0,8,72,1,between 3724 and 4076,between 295 and 333,between 12 and 13,between 135 and 153
73,13.0,8,72,1,between 4076 and 4428,between 295 and 333,between 13 and 14,between 117 and 135
74,13.0,8,72,1,between 4076 and 4428,between 295 and 333,between 15 and 16,between 135 and 153
75,14.0,8,72,1,between 4076 and 4428,between 295 and 333,between 13 and 14,between 135 and 153
76,18.0,4,72,2,between 2668 and 3020,between 105 and 143,between 14 and 15,between 99 and 117
77,22.0,4,72,2,between 2316 and 2668,between 105 and 143,between 17 and 18,between 63 and 81
78,21.0,4,72,2,between 2668 and 3020,between 105 and 143,between 19 and 20,between 81 and 99
79,26.0,4,72,2,between 1964 and 2316,between 67 and 105,between 17 and 18,between 63 and 81
80,22.0,4,72,1,between 2316 and 2668,between 105 and 143,between 15 and 16,between 81 and 99
81,28.0,4,72,3,between 1964 and 2316,between 67 and 105,between 16 and 17,between 81 and 99
82,23.0,4,72,3,between 2316 and 2668,between 105 and 143,between 14 and 15,between 81 and 99
83,28.0,4,72,1,between 1964 and 2316,between 67 and 105,between 14 and 15,between 63 and 81
84,27.0,4,72,3,between 1964 and 2316,between 67 and 105,between 16 and 17,between 81 and 99
85,13.0,8,73,1,between 4076 and 4428,between 333 and 371,between 12 and 13,between 171 and 189
86,14.0,8,73,1,between 3372 and 3724,between 295 and 333,between 11 and 12,between 135 and 153
87,13.0,8,73,1,between 3724 and 4076,between 333 and 371,between 12 and 13,between 135 and 153
88,14.0,8,73,1,between 3724 and 4076,between 295 and 333,between 14 and 15,between 135 and 153
89,15.0,8,73,1,between 3724 and 4076,between 295 and 333,between 12 and 13,between 135 and 153
90,12.0,8,73,1,between 4780 and 5141,between 409 and 456,between 11 and 12,between 189 and 207
91,13.0,8,73,1,between 4428 and 4780,between 371 and 409,between 11 and 12,between 135 and 153
92,13.0,8,73,1,between 4076 and 4428,between 333 and 371,between 12 and 13,between 153 and 171
93,14.0,8,73,1,between 4076 and 4428,between 295 and 333,between 14 and 15,between 135 and 153
94,13.0,8,73,1,between 4428 and 4780,between 409 and 456,between 10 and 11,between 207 and 231
95,12.0,8,73,1,between 4780 and 5141,between 409 and 456,between 10 and 11,between 207 and 231
96,13.0,8,73,1,between 3724 and 4076,between 333 and 371,between 10 and 11,between 171 and 189
97,18.0,6,73,1,between 3020 and 3372,between 219 and 257,between 16 and 17,between 99 and 117
98,16.0,6,73,1,between 3020 and 3372,between 219 and 257,between 17 and 18,between 99 and 117
99,18.0,6,73,1,between 2668 and 3020,between 219 and 257,between 15 and 16,between 99 and 117
100,18.0,6,73,1,between 3020 and 3372,between 219 and 257,between 16 and 17,between 81 and 99
101,23.0,6,73,1,between 2668 and 3020,between 181 and 219,between 15 and 16,between 81 and 99
102,26.0,4,73,2,between 1612 and 1964,between 67 and 105,between 20 and 21,between 45 and 63
103,11.0,8,73,1,between 4780 and 5141,between 371 and 409,between 13 and 14,between 135 and 153
104,12.0,8,73,1,between 4780 and 5141,between 371 and 409,between 12 and 13,between 153 and 171
105,13.0,8,73,1,between 4428 and 4780,between 333 and 371,between 12 and 13,between 153 and 171
106,12.0,8,73,1,between 4428 and 4780,between 333 and 371,between 12 and 13,between 171 and 189
107,18.0,6,73,1,between 2668 and 3020,between 219 and 257,between 14 and 15,between 99 and 117
108,20.0,4,73,3,between 1964 and 2316,between 67 and 105,between 18 and 19,between 81 and 99
109,21.0,4,73,1,between 2316 and 2668,between 105 and 143,between 19 and 20,between 63 and 81
110,22.0,4,73,3,between 2316 and 2668,between 105 and 143,between 16 and 17,between 81 and 99
111,18.0,3,73,3,between 1964 and 2316,between 67 and 105,between 13 and 14,between 81 and 99
112,19.0,4,73,1,between 1964 and 2316,between 105 and 143,between 18 and 19,between 81 and 99
113,21.0,6,73,1,between 2316 and 2668,between 143 and 181,between 13 and 14,between 99 and 117
114,26.0,4,73,2,between 1964 and 2316,between 67 and 105,between 15 and 16,between 81 and 99
115,15.0,8,73,1,between 4076 and 4428,between 333 and 371,between 12 and 13,between 135 and 153
116,16.0,8,73,1,between 4076 and 4428,between 371 and 409,between 9 and 10,between 207 and 231
117,29.0,4,73,2,between 1612 and 1964,between 67 and 105,between 19 and 20,between 45 and 63
118,24.0,4,73,2,between 1964 and 2316,between 105 and 143,between 15 and 16,between 63 and 81
119,20.0,4,73,2,between 2316 and 2668,between 105 and 143,between 13 and 14,between 81 and 99
120,19.0,4,73,2,between 2668 and 3020,between 105 and 143,between 15 and 16,between 99 and 117
121,15.0,8,73,1,between 3372 and 3724,between 295 and 333,between 10 and 11,between 135 and 153
122,24.0,4,73,2,between 2316 and 2668,between 105 and 143,between 13 and 14,between 99 and 117
123,20.0,6,73,3,between 2668 and 3020,between 143 and 181,between 13 and 14,between 117 and 135
124,11.0,8,73,1,between 3372 and 3724,between 333 and 371,between 10 and 11,between 171 and 189
125,20.0,6,74,1,between 3020 and 3372,between 181 and 219,between 16 and 17,between 81 and 99
126,21.0,6,74,1,between 2668 and 3020,between 181 and 219,between 16 and 17,between 81 and 99
