,mpg,cylinders,model year,origin,weight discrete,Displacement2,acceleration,horsepower
0,18.0,8,70,1,5,6,4,4
1,15.0,8,70,1,5,7,4,6
2,18.0,8,70,1,5,6,3,5
3,16.0,8,70,1,5,6,4,5
4,17.0,8,70,1,5,6,3,5
5,15.0,8,70,1,7,9,2,8
6,14.0,8,70,1,7,9,1,9
7,14.0,8,70,1,7,9,1,9
8,14.0,8,70,1,7,9,2,9
9,15.0,8,70,1,6,8,1,8
10,15.0,8,70,1,5,8,2,6
11,14.0,8,70,1,5,7,0,6
12,15.0,8,70,1,6,8,2,5
13,14.0,8,70,1,4,9,2,9
14,24.0,4,70,3,2,1,7,2
15,22.0,6,70,1,3,3,8,2
16,18.0,6,70,1,3,3,8,2
17,21.0,6,70,1,2,3,8,2
18,27.0,4,70,3,1,0,7,2
19,26.0,4,70,2,0,0,13,0
20,25.0,4,70,2,3,1,10,2
21,24.0,4,70,2,2,1,7,2
22,25.0,4,70,2,2,0,10,2
23,26.0,4,70,2,1,1,5,3
24,21.0,6,70,1,2,3,7,2
25,10.0,8,70,1,8,7,6,9
26,10.0,8,70,1,7,6,7,8
27,11.0,8,70,1,7,6,6,9
28,9.0,8,70,1,8,6,11,8
29,27.0,4,71,3,1,0,7,2
30,28.0,4,71,1,1,1,8,2
31,25.0,4,71,3,1,1,6,2
32,25.0,4,71,1,1,0,11,2
33,19.0,6,71,1,2,4,5,3
34,16.0,6,71,1,5,4,8,3
35,17.0,6,71,1,4,4,8,3
36,19.0,6,71,1,4,4,8,2
37,18.0,6,71,1,4,4,8,3
38,14.0,8,71,1,7,7,4,6
39,14.0,8,71,1,8,8,4,7
40,14.0,8,71,1,7,7,6,5
41,14.0,8,71,1,7,6,5,5
42,12.0,8,71,1,9,8,4,7
43,13.0,8,71,1,8,8,4,6
44,13.0,8,71,1,9,8,4,7
45,18.0,6,71,1,3,5,6,3
46,22.0,4,71,1,2,1,11,1
47,19.0,6,71,1,4,4,7,3
48,18.0,6,71,1,4,4,7,2
49,23.0,4,71,1,1,1,6,2
50,28.0,4,71,2,1,1,6,2
51,30.0,4,71,2,1,0,12,1
52,30.0,4,71,2,1,0,7,1
53,31.0,4,71,3,0,0,11,1
54,35.0,4,71,3,0,0,10,1
55,27.0,4,71,2,0,0,11,0
56,26.0,4,71,1,0,0,13,1
57,24.0,4,72,3,1,1,8,2
58,25.0,4,72,1,1,0,9,1
59,23.0,4,72,2,1,0,16,0
60,20.0,4,72,1,2,1,12,2
61,21.0,4,72,1,1,1,9,2
62,13.0,8,72,1,7,7,4,6
63,14.0,8,72,1,7,8,4,7
64,15.0,8,72,1,7,6,6,5
65,14.0,8,72,1,7,7,5,5
66,17.0,8,72,1,5,6,4,5
67,11.0,8,72,1,8,9,3,9
68,13.0,8,72,1,8,7,6,6
69,12.0,8,72,1,8,7,6,6
70,13.0,8,72,1,7,8,5,8
71,19.0,3,72,3,2,0,6,2
